t,axis,s,p_dibem,p_exact,error
4.500000000000e-01,x,3.066666666667e-01,2.731817445396e-02,2.746196333751e-02,-1.437888835491e-04
4.500000000000e-01,x,3.200000000000e-01,2.256298816137e-02,2.270753868064e-02,-1.445505192693e-04
4.500000000000e-01,x,3.333333333333e-01,1.719336712154e-02,1.736713362443e-02,-1.737665028843e-04
4.500000000000e-01,x,3.466666666667e-01,1.151944782386e-02,1.172089115055e-02,-2.014433266967e-04
4.500000000000e-01,x,3.600000000000e-01,5.851942823629e-03,6.056712436143e-03,-2.047696125145e-04
4.500000000000e-01,x,3.733333333333e-01,4.746009970075e-04,6.481445972471e-04,-1.735436002396e-04
4.500000000000e-01,x,3.866666666667e-01,-4.370730059233e-03,-4.265444731509e-03,-1.052853277243e-04
4.500000000000e-01,x,4.000000000000e-01,-8.511296601322e-03,-8.494460713948e-03,-1.683588737335e-05
4.500000000000e-01,x,4.133333333333e-01,-1.184903905138e-02,-1.190910430278e-02,6.006525139355e-05
4.500000000000e-01,x,4.266666666667e-01,-1.433499927913e-02,-1.444323192887e-02,1.082326497376e-04
4.500000000000e-01,x,4.400000000000e-01,-1.596101942016e-02,-1.609222508731e-02,1.312056671497e-04
4.500000000000e-01,x,4.533333333333e-01,-1.675598463331e-02,-1.690571819168e-02,1.497335583635e-04
4.500000000000e-01,x,4.666666666667e-01,-1.681093750458e-02,-1.697652942228e-02,1.655919176998e-04
4.500000000000e-01,x,4.800000000000e-01,-1.625844595291e-02,-1.642740579229e-02,1.689598393754e-04
4.500000000000e-01,x,4.933333333333e-01,-1.524071891113e-02,-1.539722073332e-02,1.565018221894e-04
4.500000000000e-01,x,5.066666666667e-01,-1.389956834064e-02,-1.402807867574e-02,1.285103351011e-04
4.500000000000e-01,x,5.200000000000e-01,-1.236645274616e-02,-1.245444313801e-02,8.799039185368e-05
4.500000000000e-01,x,5.333333333333e-01,-1.074842455048e-02,-1.079498422647e-02,4.655967598670e-05
4.500000000000e-01,x,5.466666666667e-01,-9.133214864321e-03,-9.147410281887e-03,1.419541756594e-05
4.500000000000e-01,x,5.600000000000e-01,-7.592546344690e-03,-7.586167515657e-03,-6.378829033181e-06
4.500000000000e-01,x,5.733333333333e-01,-6.182572010631e-03,-6.162602596205e-03,-1.996941442613e-05
4.500000000000e-01,x,5.866666666667e-01,-4.939614271156e-03,-4.907005933491e-03,-3.260833766501e-05
4.500000000000e-01,x,6.000000000000e-01,-3.873420095034e-03,-3.831886881350e-03,-4.153321368377e-05
4.500000000000e-01,x,6.133333333333e-01,-2.980793074192e-03,-2.935859304950e-03,-4.493376924141e-05
4.500000000000e-01,x,6.266666666667e-01,-2.250686640662e-03,-2.207610453196e-03,-4.307618746612e-05
4.500000000000e-01,x,6.400000000000e-01,-1.666984309972e-03,-1.629558284661e-03,-3.742602531107e-05
4.500000000000e-01,x,6.533333333333e-01,-1.211036621016e-03,-1.180945113550e-03,-3.009150746582e-05
4.500000000000e-01,x,6.666666666667e-01,-8.634083662737e-04,-8.402473868854e-04,-2.316097938831e-05
4.500000000000e-01,x,6.800000000000e-01,-6.046386935736e-04,-5.868888131624e-04,-1.774988041126e-05
4.500000000000e-01,x,6.933333333333e-01,-4.160448017336e-04,-4.023205753475e-04,-1.372422638606e-05
4.500000000000e-01,x,7.066666666667e-01,-2.804948302221e-04,-2.705777280539e-04,-9.917102168200e-06
4.500000000000e-01,x,7.200000000000e-01,-1.847205312551e-04,-1.784391122729e-04,-6.281418982195e-06
4.500000000000e-01,x,7.333333333333e-01,-1.188700120106e-04,-1.153155976480e-04,-3.554414362565e-06
4.500000000000e-01,x,7.466666666667e-01,-7.489592303517e-05,-7.297530642160e-05,-1.920616613574e-06
4.500000000000e-01,x,7.600000000000e-01,-4.628753304591e-05,-4.519135749436e-05,-1.096175551551e-06
4.500000000000e-01,x,7.733333333333e-01,-2.793364986305e-05,-2.737303930302e-05,-5.606105600345e-07
4.500000000000e-01,x,7.866666666667e-01,-1.639496983968e-05,-1.621899981144e-05,-1.759700282406e-07
4.500000000000e-01,x,8.000000000000e-01,-9.351994505833e-06,-9.413164690863e-06,6.117018503010e-08
4.500000000000e-01,x,8.133333333333e-01,-5.193058495458e-06,-5.371312555211e-06,1.782540597537e-07
4.500000000000e-01,x,8.266666666667e-01,-2.838299559178e-06,-3.038122587570e-06,1.998230283912e-07
4.500000000000e-01,x,8.400000000000e-01,-1.576843257255e-06,-1.730048763211e-06,1.532055059568e-07
4.500000000000e-01,x,8.533333333333e-01,-9.191404724047e-07,-1.017406656055e-06,9.826618364986e-08
4.500000000000e-01,x,8.666666666667e-01,-5.660117937808e-07,-6.385883935959e-07,7.257659981510e-08
4.500000000000e-01,x,8.800000000000e-01,-3.621119632764e-07,-4.396508019809e-07,7.753883870453e-08
4.500000000000e-01,x,8.933333333333e-01,-2.509771514471e-07,-3.332386927663e-07,8.226154131919e-08
4.500000000000e-01,x,9.066666666667e-01,-2.044675767081e-07,-2.716946681053e-07,6.722709139728e-08
4.500000000000e-01,x,9.200000000000e-01,-1.786897676020e-07,-2.301554578416e-07,5.146569023959e-08
4.500000000000e-01,x,9.333333333333e-01,-1.522007242692e-07,-1.963672507622e-07,4.416652649298e-08
4.500000000000e-01,x,9.466666666667e-01,-1.226346294721e-07,-1.648068087175e-07,4.217217924535e-08
4.500000000000e-01,x,9.600000000000e-01,-9.981326653079e-08,-1.334236742113e-07,3.361040768047e-08
4.500000000000e-01,x,9.733333333333e-01,-8.567136854569e-08,-1.018956121633e-07,1.622424361757e-08
4.500000000000e-01,x,9.866666666667e-01,-7.402579957776e-08,-7.071310089793e-08,-3.312698679830e-09
4.500000000000e-01,x,1.000000000000e+00,-6.231524189374e-08,-4.069734157806e-08,-2.161790031568e-08
4.500000000000e-01,x,1.013333333333e+00,-5.127969836470e-08,-1.273860039483e-08,-3.854109796987e-08
4.500000000000e-01,x,1.026666666667e+00,-4.351230269549e-08,1.235178273469e-08,-5.586408543019e-08
4.500000000000e-01,x,1.040000000000e+00,-3.804345595602e-08,3.392531035948e-08,-7.196876631549e-08
4.500000000000e-01,x,1.053333333333e+00,-3.303043632969e-08,5.153827688850e-08,-8.456871321819e-08
4.500000000000e-01,x,1.066666666667e+00,-2.795627751548e-08,6.496256131486e-08,-9.291883883035e-08
4.500000000000e-01,x,1.080000000000e+00,-2.346664743918e-08,7.417266907225e-08,-9.763931651143e-08
4.500000000000e-01,x,1.093333333333e+00,-2.045956553112e-08,7.931617868014e-08,-9.977574421126e-08
4.500000000000e-01,x,1.106666666667e+00,-1.820291497030e-08,8.067515481629e-08,-9.887806978659e-08
4.500000000000e-01,x,1.120000000000e+00,-1.604677066722e-08,7.862599188942e-08,-9.467276255664e-08
4.500000000000e-01,x,1.133333333333e+00,-1.388073477855e-08,7.360416701934e-08,-8.748490179789e-08
4.500000000000e-01,x,1.146666666667e+00,-1.206428476226e-08,6.607855978533e-08,-7.814284454760e-08
4.500000000000e-01,x,1.160000000000e+00,-1.081783541177e-08,5.653762211822e-08,-6.735545752999e-08
4.500000000000e-01,x,1.173333333333e+00,-9.748133849837e-09,4.548713625259e-08,-5.523527010243e-08
4.500000000000e-01,x,1.186666666667e+00,-8.639569020823e-09,3.345696606683e-08,-4.209653508765e-08
4.500000000000e-01,x,1.200000000000e+00,-7.527766103639e-09,2.101242145188e-08,-2.854018755552e-08
4.500000000000e-01,x,1.213333333333e+00,-6.647385410179e-09,8.764852020744e-09,-1.541223743092e-08
4.500000000000e-01,x,1.226666666667e+00,-6.021150290839e-09,-2.624002474558e-09,-3.397147816281e-09
4.500000000000e-01,x,1.240000000000e+00,-5.452814286106e-09,-1.244854128783e-08,6.995727001725e-09
4.500000000000e-01,x,1.253333333333e+00,-4.863342452812e-09,-1.997968723529e-08,1.511634478248e-08
4.500000000000e-01,x,1.266666666667e+00,-4.296875042794e-09,-2.449982348117e-08,2.020294843837e-08
4.500000000000e-01,x,1.280000000000e+00,-3.874028174451e-09,-2.535038116840e-08,2.147635299395e-08
4.500000000000e-01,x,1.293333333333e+00,-3.551371813055e-09,-2.198762312159e-08,1.843625130853e-08
4.500000000000e-01,x,1.306666666667e+00,-3.235532034858e-09,-1.404005335285e-08,1.080452131799e-08
4.500000000000e-01,x,1.320000000000e+00,-2.902753948755e-09,-1.359580279565e-09,-1.543173669189e-09
4.500000000000e-01,x,1.333333333333e+00,-2.595571365907e-09,1.594163470405e-08,-1.853720606996e-08
4.500000000000e-01,x,1.346666666667e+00,-2.373550987903e-09,3.747564553745e-08,-3.984919652536e-08
4.500000000000e-01,x,1.360000000000e+00,-2.191063610551e-09,6.258921301417e-08,-6.478027662472e-08
4.500000000000e-01,x,1.373333333333e+00,-2.005524557656e-09,9.040173994547e-08,-9.240726450312e-08
