t,x,p_dibem,p_exact,error
8.000000000000e-01,-6.500000000000e-01,-9.582790561753e-03,-9.876914873665e-03,2.941243119118e-04
8.000000000000e-01,-6.400000000000e-01,-1.092325478834e-02,-1.141712826586e-02,4.938734775243e-04
8.000000000000e-01,-6.300000000000e-01,-1.212335092164e-02,-1.282063167375e-02,6.972807521177e-04
8.000000000000e-01,-6.200000000000e-01,-1.307938531679e-02,-1.394880001105e-02,8.694146942635e-04
8.000000000000e-01,-6.100000000000e-01,-1.368100495723e-02,-1.464983217297e-02,9.688272157385e-04
8.000000000000e-01,-6.000000000000e-01,-1.380901734449e-02,-1.477166471433e-02,9.626473698436e-04
8.000000000000e-01,-5.900000000000e-01,-1.334815214878e-02,-1.417810942248e-02,8.299572736994e-04
8.000000000000e-01,-5.800000000000e-01,-1.219888502013e-02,-1.276665420044e-02,5.677691803079e-04
8.000000000000e-01,-5.700000000000e-01,-1.028745095580e-02,-1.048574946984e-02,1.982985140380e-04
8.000000000000e-01,-5.600000000000e-01,-7.592391118621e-03,-7.349043726723e-03,-2.433473918979e-04
8.000000000000e-01,-5.500000000000e-01,-4.178629672719e-03,-3.444054201732e-03,-7.345754709869e-04
8.000000000000e-01,-5.400000000000e-01,-1.598563991643e-04,1.066773886680e-03,-1.226630285844e-03
8.000000000000e-01,-5.300000000000e-01,4.310768820710e-03,5.953772010932e-03,-1.643003190221e-03
8.000000000000e-01,-5.200000000000e-01,9.043381069420e-03,1.093645982390e-02,-1.893078754482e-03
8.000000000000e-01,-5.100000000000e-01,1.379643888437e-02,1.570727163233e-02,-1.910832747959e-03
8.000000000000e-01,-5.000000000000e-01,1.827919851463e-02,1.995998358621e-02,-1.680785071582e-03
8.000000000000e-01,-4.900000000000e-01,2.219414986054e-02,2.341935328789e-02,-1.225203427357e-03
8.000000000000e-01,-4.800000000000e-01,2.525907615522e-02,2.586814091740e-02,-6.090647621826e-04
8.000000000000e-01,-4.700000000000e-01,2.723263981491e-02,2.716795647340e-02,6.468334150142e-05
8.000000000000e-01,-4.600000000000e-01,2.799565723034e-02,2.727123869361e-02,7.244185367304e-04
8.000000000000e-01,-4.500000000000e-01,2.754074212411e-02,2.622296941853e-02,1.317772705580e-03
8.000000000000e-01,-4.400000000000e-01,2.592348283193e-02,2.415222911903e-02,1.771253712895e-03
8.000000000000e-01,-4.300000000000e-01,2.325904335953e-02,2.125513599229e-02,2.003907367237e-03
8.000000000000e-01,-4.200000000000e-01,1.972503575248e-02,1.777183474903e-02,1.953201003452e-03
8.000000000000e-01,-4.100000000000e-01,1.558958470071e-02,1.396083583266e-02,1.628748868053e-03
8.000000000000e-01,-4.000000000000e-01,1.116947644930e-02,1.007407863512e-02,1.095397814188e-03
8.000000000000e-01,-3.900000000000e-01,6.792055959752e-03,6.335641143289e-03,4.564148164624e-04
8.000000000000e-01,-3.800000000000e-01,2.770469453352e-03,2.926174210989e-03,-1.557047576377e-04
8.000000000000e-01,-3.700000000000e-01,-6.516907047709e-04,-2.591069851941e-05,-6.257800062514e-04
8.000000000000e-01,-3.600000000000e-01,-3.380878749373e-03,-2.446524778443e-03,-9.343539709298e-04
8.000000000000e-01,-3.500000000000e-01,-5.394987163339e-03,-4.312164809784e-03,-1.082822353554e-03
8.000000000000e-01,-3.400000000000e-01,-6.719730945694e-03,-5.641863726333e-03,-1.077867219362e-03
8.000000000000e-01,-3.300000000000e-01,-7.421225977199e-03,-6.486605710580e-03,-9.346202666182e-04
8.000000000000e-01,-3.200000000000e-01,-7.600093532479e-03,-6.917942066922e-03,-6.821514655569e-04
8.000000000000e-01,-3.100000000000e-01,-7.383679444149e-03,-7.017264275957e-03,-3.664151681926e-04
8.000000000000e-01,-3.000000000000e-01,-6.912325034058e-03,-6.866768127718e-03,-4.555690633913e-05
8.000000000000e-01,-2.900000000000e-01,-6.326580590368e-03,-6.542676633223e-03,2.160960428549e-04
8.000000000000e-01,-2.800000000000e-01,-5.752319589875e-03,-6.110862129239e-03,3.585425393645e-04
8.000000000000e-01,-2.700000000000e-01,-5.251470912184e-03,-5.624674805276e-03,3.732038930921e-04
8.000000000000e-01,-2.600000000000e-01,-4.827094726027e-03,-5.124570672353e-03,2.974759463268e-04
8.000000000000e-01,-2.500000000000e-01,-4.462190245941e-03,-4.639035104444e-03,1.768448585029e-04
8.000000000000e-01,-2.400000000000e-01,-4.128318791270e-03,-4.186298163727e-03,5.797937245717e-05
8.000000000000e-01,-2.300000000000e-01,-3.796553843561e-03,-3.776405057758e-03,-2.014878580268e-05
8.000000000000e-01,-2.200000000000e-01,-3.463835839716e-03,-3.413307982631e-03,-5.052785708517e-05
8.000000000000e-01,-2.100000000000e-01,-3.140938327163e-03,-3.096757490279e-03,-4.418083688376e-05
8.000000000000e-01,-2.000000000000e-01,-2.841003445412e-03,-2.823873206941e-03,-1.713023847143e-05
8.000000000000e-01,-1.900000000000e-01,-2.577633296352e-03,-2.590354328980e-03,1.272103262815e-05
8.000000000000e-01,-1.800000000000e-01,-2.360452897266e-03,-2.391346129642e-03,3.089323237639e-05
8.000000000000e-01,-1.700000000000e-01,-2.187460180963e-03,-2.222011212965e-03,3.455103200181e-05
8.000000000000e-01,-1.600000000000e-01,-2.052170041240e-03,-2.077867929036e-03,2.569788779619e-05
8.000000000000e-01,-1.500000000000e-01,-1.945980880513e-03,-1.954958795567e-03,8.977915054661e-06
8.000000000000e-01,-1.400000000000e-01,-1.858684070372e-03,-1.849904281664e-03,-8.779788708061e-06
8.000000000000e-01,-1.300000000000e-01,-1.782523890613e-03,-1.759886214456e-03,-2.263767615632e-05
