t,w_julia,w_fem,w_matlab_aprfun3
0.07100000000000005,7.688832388446451e-6,7.99466e-6,1.076e-5
0.07200000000000005,7.936811545226082e-6,8.68617e-6,1.147e-5
0.07300000000000005,8.187885001629467e-6,8.68617e-6,1.147e-5
0.07400000000000005,8.441751265052393e-6,9.39056e-6,1.22e-5
0.07500000000000005,8.698268018449557e-6,9.39056e-6,1.22e-5
0.07600000000000005,8.957480012408398e-6,9.39056e-6,1.22e-5
0.07700000000000005,9.219615438907377e-6,1.01043e-5,1.294e-5
0.07800000000000006,9.485049204278076e-6,1.01043e-5,1.294e-5
0.07900000000000006,9.754237304615213e-6,1.08249e-5,1.369e-5
0.08000000000000006,1.0027631909760635e-5,1.08249e-5,1.369e-5
0.08100000000000006,1.0305590784663863e-5,1.08249e-5,1.369e-5
0.08200000000000006,1.0588296513718067e-5,1.15508e-5,1.446e-5
0.08300000000000006,1.0875700189155716e-5,1.15508e-5,1.446e-5
0.08400000000000006,1.116750077618026e-5,1.228e-5,1.524e-5
0.08500000000000006,1.1463165749894717e-5,1.228e-5,1.524e-5
0.08600000000000006,1.1761991701873037e-5,1.228e-5,1.524e-5
0.08700000000000006,1.2063196600236463e-5,1.30102e-5,1.603e-5
0.08800000000000006,1.2366029494054744e-5,1.30102e-5,1.603e-5
0.08900000000000007,1.266987977277736e-5,1.37403e-5,1.683e-5
0.09000000000000007,1.2974367367539888e-5,1.37403e-5,1.683e-5
0.09100000000000007,1.3279397761094222e-5,1.37403e-5,1.683e-5
0.09200000000000007,1.3585171046079101e-5,1.44694e-5,1.764e-5
0.09300000000000007,1.3892141704976255e-5,1.44694e-5,1.764e-5
0.09400000000000007,1.4200934056892614e-5,1.51971e-5,1.845e-5
0.09500000000000007,1.4512226018976275e-5,1.51971e-5,1.845e-5
0.09600000000000007,1.4826619615261316e-5,1.51971e-5,1.845e-5
0.09700000000000007,1.5144519481930131e-5,1.59248e-5,1.926e-5
0.09800000000000007,1.5466039902638367e-5,1.59248e-5,1.926e-5
0.09900000000000007,1.5790956694596227e-5,1.66555e-5,2.008e-5
0.10000000000000007,1.611871319148252e-5,1.66555e-5,2.008e-5
0.10100000000000008,1.6448480771179367e-5,1.66555e-5,2.008e-5
0.10200000000000008,1.6779265307014042e-5,1.73894e-5,2.09e-5
0.10300000000000008,1.711004310261971e-5,1.73894e-5,2.09e-5
0.10400000000000008,1.743990463597893e-5,1.8121e-5,2.172e-5
0.10500000000000008,1.7768182704603213e-5,1.8121e-5,2.172e-5
0.10600000000000008,1.8094543673561096e-5,1.8121e-5,2.172e-5
0.10700000000000008,1.8419026187486097e-5,1.88412e-5,2.255e-5
0.10800000000000008,1.874202003180423e-5,1.88412e-5,2.255e-5
0.10900000000000008,1.906418748430413e-5,1.95436e-5,2.337e-5
0.11000000000000008,1.9386338922239303e-5,1.95436e-5,2.337e-5
0.11100000000000008,1.9709282102901905e-5,1.95436e-5,2.337e-5
0.11200000000000009,2.0033669151907786e-5,2.0224e-5,2.419e-5
0.11300000000000009,2.0359866087821015e-5,2.0224e-5,2.419e-5
0.11400000000000009,2.0687866506280818e-5,2.08789e-5,2.501e-5
0.11500000000000009,2.101726430203542e-5,2.08789e-5,2.501e-5
0.11600000000000009,2.1347291052512895e-5,2.08789e-5,2.501e-5
0.11700000000000009,2.167691336109582e-5,2.15054e-5,2.583e-5
0.11800000000000009,2.200497568908314e-5,2.15054e-5,2.583e-5
0.11900000000000009,2.233036655517154e-5,2.2105e-5,2.663e-5
0.12000000000000009,2.265218170548838e-5,2.2105e-5,2.663e-5
0.1210000000000001,2.2969857705333528e-5,2.2105e-5,2.663e-5
0.1220000000000001,2.3283253495775857e-5,2.26864e-5,2.744e-5
0.1230000000000001,2.359266525359137e-5,2.26864e-5,2.744e-5
0.1240000000000001,2.3898770258711726e-5,2.3263e-5,2.823e-5
0.12500000000000008,2.420250684226385e-5,2.3263e-5,2.823e-5
0.12600000000000008,2.45049080871897e-5,2.3263e-5,2.823e-5
0.12700000000000009,2.480691506922337e-5,2.38468e-5,2.901e-5
0.12800000000000009,2.5109199672641194e-5,2.38468e-5,2.901e-5
0.1290000000000001,2.541202656208142e-5,2.44442e-5,2.978e-5
0.1300000000000001,2.5715178617727834e-5,2.44442e-5,2.978e-5
0.1310000000000001,2.601796068725198e-5,2.44442e-5,2.978e-5
0.1320000000000001,2.631928421457306e-5,2.50555e-5,3.054e-5
0.1330000000000001,2.6617822037004913e-5,2.50555e-5,3.054e-5
0.1340000000000001,2.6912210517810154e-5,2.56798e-5,3.13e-5
0.1350000000000001,2.7201267247795728e-5,2.56798e-5,3.13e-5
0.1360000000000001,2.7484188446080185e-5,2.56798e-5,3.13e-5
0.1370000000000001,2.7760691853682443e-5,2.63163e-5,3.203e-5
0.1380000000000001,2.8031078381253626e-5,2.63163e-5,3.203e-5
0.1390000000000001,2.8296198117594136e-5,2.69638e-5,3.276e-5
0.1400000000000001,2.8557321730760558e-5,2.69638e-5,3.276e-5
0.1410000000000001,2.8815934374628435e-5,2.69638e-5,3.276e-5
0.1420000000000001,2.9073483269050758e-5,2.762e-5,3.347e-5
0.1430000000000001,2.933111965018758e-5,2.762e-5,3.347e-5
