t,x,p_dibem,p_exact,error
2.200000000000e+00,-6.245833333333e-01,1.487052362655e-03,-2.950310012599e-05,1.516555462781e-03
2.200000000000e+00,-4.996666666667e-01,5.541705045649e-03,-2.596631310279e-05,5.567671358752e-03
2.200000000000e+00,-3.747500000000e-01,-1.555393482290e-02,-2.358188884135e-05,-1.553035293406e-02
2.200000000000e+00,-2.498333333333e-01,-1.593307897381e-03,-2.204671831043e-05,-1.571261179070e-03
2.200000000000e+00,-1.249166666667e-01,-3.239512440060e-03,-2.118593006984e-05,-3.218326509990e-03
2.200000000000e+00,0.000000000000e+00,-1.956790256143e-03,-2.090843333109e-05,-1.935881822812e-03
2.200000000000e+00,1.249166666667e-01,-3.239511582368e-03,-2.118593006984e-05,-3.218325652299e-03
2.200000000000e+00,2.498333333333e-01,-1.593273462504e-03,-2.204671831043e-05,-1.571226744194e-03
2.200000000000e+00,3.747500000000e-01,-1.555398378970e-02,-2.358188884135e-05,-1.553040190086e-02
2.200000000000e+00,4.996666666667e-01,5.541644164819e-03,-2.596631310279e-05,5.567610477921e-03
2.200000000000e+00,6.245833333333e-01,1.487128711222e-03,-2.950310012599e-05,1.516631811348e-03
2.200000000000e+00,7.495000000000e-01,3.447506094121e-03,-3.471232524403e-05,3.482218419365e-03
2.200000000000e+00,8.744166666667e-01,-1.044979186476e-02,-4.251324559653e-05,-1.040727861917e-02
2.200000000000e+00,9.993333333333e-01,4.306599416332e-03,-5.462466979109e-05,4.361224086123e-03
2.200000000000e+00,1.124250000000e+00,1.435414782310e-03,-7.453553066566e-05,1.509950312976e-03
2.200000000000e+00,1.249166666667e+00,4.019680977474e-03,-1.102017218104e-04,4.129882699284e-03
2.200000000000e+00,1.374083333333e+00,3.891278692444e-03,-1.831951507966e-04,4.074473843241e-03
2.200000000000e+00,1.499000000000e+00,-1.627551828130e-02,-3.725349444461e-04,-1.590298333686e-02
3.300000000000e+00,-1.499000000000e+00,-1.067475675032e-02,-1.226327919044e-05,-1.066249347113e-02
3.300000000000e+00,-1.374083333333e+00,2.951770939059e-03,-1.056510372576e-05,2.962336042784e-03
3.300000000000e+00,-1.249166666667e+00,-7.902901622297e-03,-9.271693051067e-06,-7.893629929246e-03
3.300000000000e+00,-1.124250000000e+00,-6.731066953280e-03,-8.272206590537e-06,-6.722794746689e-03
3.300000000000e+00,-9.993333333333e-01,-4.573737477138e-04,-7.492155850045e-06,-4.498815918638e-04
3.300000000000e+00,-8.744166666667e-01,-2.199440081403e-03,-6.880230653815e-06,-2.192559850749e-03
3.300000000000e+00,-7.495000000000e-01,-1.658655603900e-02,-6.400402332357e-06,-1.658015563667e-02
3.300000000000e+00,-6.245833333333e-01,5.223708536436e-03,-6.027035802220e-06,5.229735572238e-03
3.300000000000e+00,-4.996666666667e-01,9.264762282021e-03,-5.741784719320e-06,9.270504066740e-03
3.300000000000e+00,-3.747500000000e-01,-4.168802968645e-03,-5.531581793183e-06,-4.163271386852e-03
3.300000000000e+00,-2.498333333333e-01,1.164460026550e-02,-5.387326206969e-06,1.164998759171e-02
3.300000000000e+00,-1.249166666667e-01,2.628755607711e-03,-5.303032736786e-06,2.634058640447e-03
3.300000000000e+00,0.000000000000e+00,1.769179635396e-02,-5.275302351308e-06,1.769707165631e-02
3.300000000000e+00,1.249166666667e-01,2.628750158035e-03,-5.303032736786e-06,2.634053190772e-03
3.300000000000e+00,2.498333333333e-01,1.164469362481e-02,-5.387326206969e-06,1.165008095102e-02
3.300000000000e+00,3.747500000000e-01,-4.168868112969e-03,-5.531581793183e-06,-4.163336531176e-03
3.300000000000e+00,4.996666666667e-01,9.264649798100e-03,-5.741784719320e-06,9.270391582820e-03
3.300000000000e+00,6.245833333333e-01,5.223862948304e-03,-6.027035802220e-06,5.229889984106e-03
3.300000000000e+00,7.495000000000e-01,-1.658662899990e-02,-6.400402332357e-06,-1.658022859757e-02
3.300000000000e+00,8.744166666667e-01,-2.199438647344e-03,-6.880230653815e-06,-2.192558416691e-03
3.300000000000e+00,9.993333333333e-01,-4.573819725486e-04,-7.492155850045e-06,-4.498898166985e-04
3.300000000000e+00,1.124250000000e+00,-6.731046772414e-03,-8.272206590537e-06,-6.722774565824e-03
3.300000000000e+00,1.249166666667e+00,-7.902853503520e-03,-9.271693051067e-06,-7.893581810469e-03
3.300000000000e+00,1.374083333333e+00,2.951734750171e-03,-1.056510372576e-05,2.962299853897e-03
3.300000000000e+00,1.499000000000e+00,-1.067491088325e-02,-1.226327919044e-05,-1.066264760406e-02
4.000000000000e+00,-1.499000000000e+00,-1.698461641020e-02,-4.769138137596e-06,-1.697984727206e-02
4.000000000000e+00,-1.374083333333e+00,-8.510822043977e-03,-4.358504811754e-06,-8.506463539165e-03
4.000000000000e+00,-1.249166666667e+00,-2.687417642238e-04,-4.022277184533e-06,-2.647194870393e-04
4.000000000000e+00,-1.124250000000e+00,1.207385477287e-02,-3.746051483212e-06,1.207760082435e-02
4.000000000000e+00,-9.993333333333e-01,9.693031797422e-03,-3.519012509861e-06,9.696550809932e-03
4.000000000000e+00,-8.744166666667e-01,7.878004305310e-03,-3.332963634427e-06,7.881337268945e-03
4.000000000000e+00,-7.495000000000e-01,8.721975214681e-03,-3.181657060457e-06,8.725156871741e-03
4.000000000000e+00,-6.245833333333e-01,1.178182791313e-02,-3.060324954779e-06,1.178488823809e-02
4.000000000000e+00,-4.996666666667e-01,2.805605022834e-03,-2.965348018734e-06,2.808570370853e-03
4.000000000000e+00,-3.747500000000e-01,2.793047761515e-03,-2.894020337793e-06,2.795941781853e-03
4.000000000000e+00,-2.498333333333e-01,-1.802248971259e-03,-2.844383468034e-06,-1.799404587791e-03
4.000000000000e+00,-1.249166666667e-01,2.616524616656e-03,-2.815111929932e-06,2.619339728586e-03
4.000000000000e+00,0.000000000000e+00,-1.909757264847e-03,-2.805438483398e-06,-1.906951826363e-03
4.000000000000e+00,1.249166666667e-01,2.616489147125e-03,-2.815111929932e-06,2.619304259055e-03
4.000000000000e+00,2.498333333333e-01,-1.802144750837e-03,-2.844383468034e-06,-1.799300367369e-03
4.000000000000e+00,3.747500000000e-01,2.793037699573e-03,-2.894020337793e-06,2.795931719911e-03
4.000000000000e+00,4.996666666667e-01,2.805561719828e-03,-2.965348018734e-06,2.808527067846e-03
4.000000000000e+00,6.245833333333e-01,1.178186277410e-02,-3.060324954779e-06,1.178492309905e-02
4.000000000000e+00,7.495000000000e-01,8.721914866302e-03,-3.181657060457e-06,8.725096523363e-03
4.000000000000e+00,8.744166666667e-01,7.878010529952e-03,-3.332963634427e-06,7.881343493587e-03
4.000000000000e+00,9.993333333333e-01,9.693060160883e-03,-3.519012509861e-06,9.696579173393e-03
4.000000000000e+00,1.124250000000e+00,1.207384410682e-02,-3.746051483212e-06,1.207759015830e-02
4.000000000000e+00,1.249166666667e+00,-2.687620336359e-04,-4.022277184533e-06,-2.647397564514e-04
4.000000000000e+00,1.374083333333e+00,-8.510859581038e-03,-4.358504811754e-06,-8.506501076226e-03
4.000000000000e+00,1.499000000000e+00,-1.698458915617e-02,-4.769138137596e-06,-1.697982001803e-02
