t,axis,s,p_dibem,p_exact,error
4.500000000000e-01,x,-7.600000000000e-01,-9.494798035220e-05,-4.519135749436e-05,-4.975662285784e-05
4.500000000000e-01,x,-7.466666666667e-01,-1.399585230131e-04,-7.297530642160e-05,-6.698321659151e-05
4.500000000000e-01,x,-7.333333333333e-01,-2.034530112968e-04,-1.153155976480e-04,-8.813741364882e-05
4.500000000000e-01,x,-7.200000000000e-01,-2.915971503571e-04,-1.784391122729e-04,-1.131580380842e-04
4.500000000000e-01,x,-7.066666666667e-01,-4.116314242150e-04,-2.705777280539e-04,-1.410536961611e-04
4.500000000000e-01,x,-6.933333333333e-01,-5.719748689674e-04,-4.023205753475e-04,-1.696542936199e-04
4.500000000000e-01,x,-6.800000000000e-01,-7.831075357610e-04,-5.868888131624e-04,-1.962187225986e-04
4.500000000000e-01,x,-6.666666666667e-01,-1.057755782706e-03,-8.402473868854e-04,-2.175083958211e-04
4.500000000000e-01,x,-6.533333333333e-01,-1.409440552398e-03,-1.180945113550e-03,-2.284954388476e-04
4.500000000000e-01,x,-6.400000000000e-01,-1.851911646496e-03,-1.629558284661e-03,-2.223533618357e-04
4.500000000000e-01,x,-6.266666666667e-01,-2.398542116225e-03,-2.207610453196e-03,-1.909316630289e-04
4.500000000000e-01,x,-6.133333333333e-01,-3.061600679582e-03,-2.935859304950e-03,-1.257413746315e-04
4.500000000000e-01,x,-6.000000000000e-01,-3.851181074813e-03,-3.831886881350e-03,-1.929419346260e-05
4.500000000000e-01,x,-5.866666666667e-01,-4.773766676733e-03,-4.907005933491e-03,1.332392567579e-04
4.500000000000e-01,x,-5.733333333333e-01,-5.830521005532e-03,-6.162602596205e-03,3.320815906736e-04
4.500000000000e-01,x,-5.600000000000e-01,-7.014251068045e-03,-7.586167515657e-03,5.719164476121e-04
4.500000000000e-01,x,-5.466666666667e-01,-8.301591313897e-03,-9.147410281887e-03,8.458189679896e-04
4.500000000000e-01,x,-5.333333333333e-01,-9.656260983224e-03,-1.079498422647e-02,1.138723243248e-03
4.500000000000e-01,x,-5.200000000000e-01,-1.103080607741e-02,-1.245444313801e-02,1.423637060600e-03
4.500000000000e-01,x,-5.066666666667e-01,-1.236563319023e-02,-1.402807867574e-02,1.662445485505e-03
4.500000000000e-01,x,-4.933333333333e-01,-1.358481342743e-02,-1.539722073332e-02,1.812407305890e-03
4.500000000000e-01,x,-4.800000000000e-01,-1.458942647675e-02,-1.642740579229e-02,1.837979315534e-03
4.500000000000e-01,x,-4.666666666667e-01,-1.526907674070e-02,-1.697652942228e-02,1.707452681579e-03
4.500000000000e-01,x,-4.533333333333e-01,-1.550819228748e-02,-1.690571819168e-02,1.397525904200e-03
4.500000000000e-01,x,-4.400000000000e-01,-1.519153405006e-02,-1.609222508731e-02,9.006910372437e-04
4.500000000000e-01,x,-4.266666666667e-01,-1.422002665302e-02,-1.444323192887e-02,2.232052758486e-04
4.500000000000e-01,x,-4.133333333333e-01,-1.252249786150e-02,-1.190910430278e-02,-6.133935587270e-04
4.500000000000e-01,x,-4.000000000000e-01,-1.004817653255e-02,-8.494460713948e-03,-1.553715818598e-03
4.500000000000e-01,x,-3.866666666667e-01,-6.773378435141e-03,-4.265444731509e-03,-2.507933703632e-03
4.500000000000e-01,x,-3.733333333333e-01,-2.712445533927e-03,6.481445972471e-04,-3.360590131174e-03
4.500000000000e-01,x,-3.600000000000e-01,2.040353338928e-03,6.056712436143e-03,-4.016359097215e-03
4.500000000000e-01,x,-3.466666666667e-01,7.314529839032e-03,1.172089115055e-02,-4.406361311522e-03
4.500000000000e-01,x,-3.333333333333e-01,1.289531264079e-02,1.736713362443e-02,-4.471820983635e-03
4.500000000000e-01,x,-3.200000000000e-01,1.852948439243e-02,2.270753868064e-02,-4.178054288207e-03
4.500000000000e-01,x,-3.066666666667e-01,2.393570443830e-02,2.746196333751e-02,-3.526258899210e-03
4.500000000000e-01,x,-2.933333333333e-01,2.883724036720e-02,3.138010915535e-02,-2.542868788148e-03
4.500000000000e-01,x,-2.800000000000e-01,3.295745386639e-02,3.426120800825e-02,-1.303754141867e-03
4.500000000000e-01,x,-2.666666666667e-01,3.602374437074e-02,3.596919351317e-02,5.455085756849e-05
4.500000000000e-01,x,-2.533333333333e-01,3.778820405962e-02,3.644179230714e-02,1.346411752477e-03
4.500000000000e-01,x,-2.400000000000e-01,3.808565092971e-02,3.569272158218e-02,2.392929347538e-03
4.500000000000e-01,x,-2.266666666667e-01,3.693974385156e-02,3.380702092791e-02,3.132722923653e-03
4.500000000000e-01,x,-2.133333333333e-01,3.446756609766e-02,3.093035164899e-02,3.537214448676e-03
4.500000000000e-01,x,-2.000000000000e-01,3.085086702144e-02,2.725375067219e-02,3.597116349251e-03
4.500000000000e-01,x,-1.866666666667e-01,2.633385354573e-02,2.299574485429e-02,3.338108691441e-03
4.500000000000e-01,x,-1.733333333333e-01,2.118870015467e-02,1.838387377795e-02,2.804826376716e-03
4.500000000000e-01,x,-1.600000000000e-01,1.568482840488e-02,1.363754010897e-02,2.047288295901e-03
4.500000000000e-01,x,-1.466666666667e-01,1.012825718689e-02,8.953752191678e-03,1.174504995214e-03
4.500000000000e-01,x,-1.333333333333e-01,4.847869994651e-03,4.496818085165e-03,3.510519094857e-04
4.500000000000e-01,x,-1.200000000000e-01,1.651663392323e-04,3.924805434511e-04,-2.273142042188e-04
4.500000000000e-01,x,-1.066666666667e-01,-3.770717010002e-03,-3.273567660606e-03,-4.971493493956e-04
4.500000000000e-01,x,-9.333333333333e-02,-6.981764046663e-03,-6.453310646633e-03,-5.284534000304e-04
