# w_lin=0.03313573432827539 w_nl=0.03238456817786416 h=0.1 q=0.005000000000000001
tag,x,y,u,v,w,thx,thy,wx,wy,ex,ey,gxy,Nxx,Nyy,Nxy,Nnn
nl,0.02817541634477608,0.0,1.8338488762413862e-21,2.740742950100974e-05,1.950125101455814e-20,4.354576871263429e-19,0.00798848966632744,4.085042733189543e-05,0.009221363698434014,2.1878088372876518e-05,1.297581744997351e-05,0.002009045161310288,2.8838005334324624e-05,1.745916280129085e-05,0.00010045225806551441,1.745916280129085e-05
nl,0.1249999999997752,0.0,-5.692212330769173e-22,0.00021147075456620559,9.120236906226877e-21,-7.441160177669964e-20,0.03449830877188402,3.2985555191848723e-19,0.03991383032976235,-8.684646398236958e-22,2.105573551686736e-05,0.003401351467791988,5.277126695956745e-07,2.744105881897525e-05,0.00017006757338959943,2.744105881897525e-05
nl,0.22182458365469063,0.0,1.1224404149460414e-21,0.0005253129200903592,1.5928451835802194e-19,3.6734756226550007e-19,0.05771055929883234,-1.6413225985253453e-20,0.06624364654707293,9.03207142201686e-23,1.0054967632675238e-05,0.004058362294890286,2.5200420132018457e-07,1.3104218468649728e-05,0.0002029181147445143,1.3104218468649728e-05
nl,0.2781754163441445,0.0,6.238800025396435e-22,0.0007302644874882029,1.4246850767307807e-19,2.277004135640467e-19,0.06885770400867104,1.3384850046045074e-20,0.07893234958189156,-9.045841338100854e-23,4.853778055754457e-06,0.003913876005301241,1.216485728259291e-07,6.325725786948452e-06,0.00019569380026506205,6.325725786948452e-06
nl,0.3749999999990515,0.0,-5.273371566838527e-22,0.0010371482815904206,-1.7464988565116695e-19,-2.3631542316641095e-19,0.08279903660995037,1.5851664251236814e-19,0.09521177891781493,-1.3705732700513094e-21,-6.557333589880304e-07,0.0027604315954172422,-1.643442002476235e-08,-8.54589841287457e-07,0.0001380215797708621,-8.54589841287457e-07
nl,0.4718245836539586,0.0,1.0876314745727008e-22,0.0011968822859982093,2.4921994777634077e-19,5.266839398556631e-20,0.08918826800042154,-2.0410217551284775e-21,0.10199366834533966,7.566613635862827e-23,3.283345267086099e-07,0.0006572213858079797,8.228935506482048e-09,4.2790464633708325e-07,3.286106929039898e-05,4.2790464633708325e-07
nl,0.5281754163435798,0.0,-7.704831841084011e-23,0.0011968822859997669,2.298261656321667e-19,-3.5953062327825016e-20,0.08918826800048188,-2.048109969461794e-21,0.10199010146404738,-7.526910032654988e-23,3.375082334858676e-06,-0.0006789397959206758,8.458852969570555e-08,4.398603544176671e-06,-3.3946989796033793e-05,4.398603544176671e-06
nl,0.6249999999990163,0.0,-1.2150941685468208e-22,0.00103714828159543,-4.188268622853492e-20,-3.280905149173231e-20,0.08279903661015675,-9.731304114733289e-20,0.09519436784048765,-1.2575880475151633e-21,1.1955460476584999e-05,-0.002765884078993266,2.9963560091691346e-07,1.5581051247679493e-05,-0.0001382942039496633,1.5581051247679493e-05
nl,0.721824583654453,0.0,-7.815943531055125e-22,0.0007302644874932067,1.9696080724967414e-19,-2.945983196692122e-19,0.06885770400892237,1.3392149908152754e-20,0.07889489120093104,8.840435016941778e-23,2.2448812878200765e-05,-0.0038837963173520944,5.626268891779611e-07,2.925659823725384e-05,-0.00019418981586760475,2.925659823725384e-05
nl,0.7781754163442296,0.0,-9.912981753354977e-22,0.0005253129200942328,1.509251226163531e-19,-3.308771740599759e-19,0.05771055929906429,-1.642006894862061e-20,0.06619258155790472,-8.823068205383273e-23,2.77328431509139e-05,-0.004003356110759458,6.950587255868114e-07,3.614305373051405e-05,-0.00020016780553797292,3.614305373051405e-05
nl,0.8749999999996704,0.0,-1.6465739304705608e-23,0.0002114707545677108,-4.98408098310076e-20,2.4233458569702945e-20,0.03449830877202904,-3.0217264154439458e-19,0.03983990698304557,-1.2547841249977723e-21,3.2880495890887676e-05,-0.003299123745826053,8.240725787189852e-07,4.28517740933872e-05,-0.00016495618729130265,4.28517740933872e-05
nl,0.9718245836551112,0.0,-1.98605258911218e-21,2.7407429501139827e-05,2.7443383681598566e-20,-4.722974314141078e-19,0.007988489666359252,-4.085042733176215e-05,0.009183796367499088,2.1878088372804706e-05,1.2902407346129268e-05,-0.0019394975213017662,2.8836165482004357e-05,1.736349048550178e-05,-9.697487606508832e-05,1.736349048550178e-05
nl,1.0,0.02817541634477608,-2.7511579738339255e-05,-1.3289294020375856e-20,-1.5791357492526087e-19,-0.005456858755433249,-4.7585569870014324e-18,-0.009260546230200293,-6.17464058691196e-18,3.481512825682687e-05,1.8508787740243583e-21,-0.002009835553329674,4.537309948258138e-05,8.725596054341133e-07,-0.0001004917776664837,4.537309948258138e-05
nl,1.0,0.1249999999997752,-0.00021203045680659785,-3.1242464682508572e-18,-2.8160910398474826e-19,-0.023573042053118762,1.1568086939552446e-16,-0.03988935840639479,3.0311250208694542e-15,2.0921165107947627e-05,-5.985688868435313e-17,-0.0034029916470138376,2.7265678837423974e-05,5.243399775645406e-07,-0.0001701495823506919,2.7265678837423974e-05
nl,1.0,0.22182458365469063,-0.0005260039909602386,-9.302797008767867e-21,-1.392663862241256e-18,-0.03943297158718291,-4.502153945449874e-18,-0.0661459964304519,-5.574985531283969e-18,9.946408767910326e-06,3.0412628664832535e-20,-0.004053269645839871,1.2962738243893155e-05,2.4928342776692026e-07,-0.00020266348229199357,1.2962738243893155e-05
nl,1.0,0.2781754163441445,-0.0007306523520852731,-5.5001184933978664e-21,-1.2934516518196938e-18,-0.047045453581181486,-2.9359905771534905e-18,-0.07877960883274017,-3.8175274220697134e-18,4.791768164788609e-06,2.5653450892021638e-20,-0.003904338334858467,6.244910891453824e-06,1.200944402200147e-07,-0.00019521691674292336,6.244910891453824e-06
nl,1.0,0.3749999999990515,-0.0010365383017102172,-6.641688558027481e-20,5.82398702474672e-17,-0.056562398505465836,3.0377469865247544e-16,-0.09496505273110747,2.8028583090191077e-14,-6.427130986465924e-07,-3.6787423967349286e-16,-0.0027483050121120895,-8.3762108095215e-07,-1.610809819007637e-08,-0.00013741525060560446,-8.3762108095215e-07
nl,1.0,0.4718245836539586,-0.001195501467745391,-7.668222979699673e-22,-2.1334086738500983e-18,-0.06091860641099616,-4.934543436331382e-19,-0.10169808208489164,-6.917184867001633e-19,3.2246561717246463e-07,2.586424162214612e-20,-0.000653905259018701,4.202559421796534e-07,8.081845041902445e-09,-3.269526295093506e-05,4.202559421796534e-07
nl,1.0,0.5281754163435798,-0.0011955014677469404,6.354236690914525e-22,-1.7110667449636082e-18,-0.060918606411037315,4.2297634066555215e-19,-0.10169463553232035,5.815606334099261e-19,3.321956256799423e-06,2.174529816630813e-20,0.000675352933067015,4.3293665502147885e-06,8.325704904266964e-08,3.376764665335076e-05,4.3293665502147885e-06
nl,1.0,0.6249999999990163,-0.0010365383017151913,3.647645465450811e-18,7.668294936263565e-17,-0.05656239850560694,-3.8229832982415524e-17,-0.0949481854200954,2.9715632322981114e-14,1.1805827752200892e-05,-2.501928775769795e-16,0.0027538452381268364,1.5386041180806925e-05,2.9588540699746547e-07,0.00013769226190634182,1.5386041180806925e-05
nl,1.0,0.721824583654453,-0.0007306523520902659,7.300300680872145e-21,-1.6813547175224002e-18,-0.04704545358135309,3.8585402907319784e-18,-0.07874307298962548,4.5406345265270145e-18,2.2281182328776235e-05,3.051266748510403e-20,0.0038747626812806997,2.9038132358304867e-05,5.584256222754158e-07,0.00019373813406403501,2.9038132358304867e-05
nl,1.0,0.7781754163442296,-0.0005260039909641093,7.522597277401012e-21,-1.1106443416359552e-18,-0.03943297158734137,3.628369346420698e-18,-0.06609598068414609,4.687155510750636e-18,2.759848677699391e-05,2.556934349746258e-20,0.0039988135212392275,3.5967952691821634e-05,6.916913979199717e-07,0.00019994067606196136,3.5967952691821634e-05
nl,1.0,0.8749999999996704,-0.00021203045680810362,-6.330755077531132e-18,2.4758183937388942e-17,-0.0235730420532181,-1.2378081812386282e-16,-0.03981643684139336,4.715008671404925e-15,3.283973865378758e-05,-2.4290504453432026e-16,0.003300958100132526,4.2798656892148145e-05,8.230510937635617e-07,0.00016504790500662631,4.2798656892148145e-05
