dim,geom,method,n,size_param,t_asm,t_mv,mem_bytes,compression,rel_err,maxrank
2,boundary,h2_proxy_dense,2048,2048,2.481108e-02,1.519980e-04,1097984,3.056004e+01,4.642408e-03,39
2,boundary,h2_fmm,2048,2048,8.999957e+00,7.623100e-04,6888000,4.871433e+00,4.657483e-02,96
2,boundary,full,4096,4096,2.513333e-01,8.759715e-03,134217776,9.999996e-01,0.000000e+00,0
2,boundary,fmm,4096,4096,9.757800e-04,2.978082e-03,866376,1.549186e+02,1.650880e-15,0
2,boundary,hmatrix,4096,4096,3.028351e-02,7.139280e-04,11703200,1.146846e+01,5.019848e-09,0
2,boundary,h2_proxy_aca,4096,4096,5.119533e-02,3.567320e-04,2199288,6.102781e+01,3.301818e-02,37
2,boundary,h2_nca,4096,4096,4.460321e-02,3.544950e-04,2163288,6.204339e+01,9.414399e-03,39
2,boundary,h2_nnca,4096,4096,3.468742e-02,3.503060e-04,2135680,6.284543e+01,1.327263e-02,39
2,boundary,h2_proxy_dense,4096,4096,4.840304e-02,2.992670e-04,2138160,6.277254e+01,3.301818e-02,37
2,boundary,h2_fmm,4096,4096,2.800710e+01,2.098676e-03,13723936,9.779828e+00,6.153663e-02,96
2,boundary,fmm,8192,8192,1.902268e-03,5.690039e-03,1689416,3.177849e+02,0.000000e+00,0
2,boundary,hmatrix,8192,8192,6.684155e-02,1.672187e-03,25373600,2.115864e+01,6.262418e-09,0
2,boundary,h2_proxy_aca,8192,8192,2.583289e-01,7.335830e-04,4346256,1.235249e+02,2.601450e-02,38
2,boundary,h2_nca,8192,8192,7.762936e-02,6.952110e-04,4187072,1.282211e+02,2.264817e-02,40
2,boundary,h2_nnca,8192,8192,6.363240e-02,6.945630e-04,4156816,1.291544e+02,2.474839e-02,40
2,boundary,h2_proxy_dense,8192,8192,9.586303e-02,6.044760e-04,4230280,1.269114e+02,2.601450e-02,38
2,boundary,h2_fmm,8192,8192,9.520786e+01,5.494671e-03,27407488,1.958848e+01,5.718779e-02,96
2,boundary,fmm,10000,10000,3.535928e-03,4.754852e-03,2619512,3.054004e+02,0.000000e+00,0
2,boundary,hmatrix,10000,10000,7.912681e-02,2.205292e-03,27632176,2.895176e+01,1.048385e-08,0
2,boundary,h2_proxy_aca,10000,10000,2.944441e-01,1.206797e-03,5044376,1.585925e+02,4.044995e-02,38
2,boundary,h2_nca,10000,10000,1.089493e-01,1.176773e-03,4571248,1.750069e+02,3.363619e-02,47
2,boundary,h2_nnca,10000,10000,9.131831e-02,1.157208e-03,4552056,1.757448e+02,4.616247e-02,44
2,boundary,h2_proxy_dense,10000,10000,1.386213e-01,9.857940e-04,4818080,1.660412e+02,4.044995e-02,38
2,boundary,h2_fmm,10000,10000,1.646633e+02,7.951614e-03,34318720,2.331089e+01,1.235310e-01,96
3,volume,full,512,8,1.828589e-03,3.281700e-05,2097200,9.999771e-01,0.000000e+00,0
3,volume,fmm,512,8,1.748594e-03,5.822779e-03,852200,2.460868e+00,2.812874e-07,0
3,volume,hmatrix,512,8,3.088208e-03,8.942900e-05,2179456,9.622364e-01,2.959675e-07,0
3,volume,h2_proxy_aca,512,8,1.356232e-01,2.370820e-04,3652608,5.741519e-01,8.990168e-07,216
3,volume,h2_nca,512,8,1.063390e-02,2.458390e-04,2236352,9.377558e-01,1.807080e-06,64
3,volume,h2_nnca,512,8,4.079847e-02,2.475210e-04,2497472,8.397099e-01,1.358801e-06,128
3,volume,h2_proxy_dense,512,8,3.148019e-02,1.688860e-04,3201408,6.550718e-01,7.009472e-16,216
3,volume,h2_hara,512,8,4.258651e+00,1.709210e-04,2462080,8.517806e-01,6.979641e-16,96
3,volume,full,1000,10,6.651495e-03,5.654800e-05,8000048,9.999940e-01,0.000000e+00,0
3,volume,fmm,1000,10,2.568720e-03,8.832538e-03,916456,8.729279e+00,5.770423e-02,0
3,volume,hmatrix,1000,10,2.121259e-02,3.203970e-04,8572288,9.332398e-01,1.309565e-06,0
3,volume,h2_proxy_aca,1000,10,3.830724e-02,6.990060e-04,2250616,3.554582e+00,1.126649e+00,200
3,volume,h2_nca,1000,10,4.945269e-02,1.010134e-03,6897424,1.159853e+00,6.513590e-03,188
3,volume,h2_nnca,1000,10,7.705899e-02,1.051913e-03,7558240,1.058447e+00,4.283903e-03,222
3,volume,h2_proxy_dense,1000,10,2.561633e-02,2.787480e-04,2036904,3.927529e+00,1.126649e+00,200
3,volume,h2_hara,1000,10,1.456861e+01,7.879870e-04,6673648,1.198745e+00,1.044117e-06,96
3,volume,full,1728,12,2.128282e-02,8.271890e-04,23887920,9.999980e-01,0.000000e+00,0
3,volume,fmm,1728,12,5.755950e-03,9.689360e-03,1063848,2.245422e+01,5.225932e-02,0
3,volume,hmatrix,1728,12,4.998043e-02,1.271524e-03,21077944,1.133311e+00,6.120365e-07,0
3,volume,h2_proxy_aca,1728,12,3.252870e-01,2.433646e-03,19097472,1.250839e+00,2.127238e-04,216
3,volume,h2_nca,1728,12,7.346005e-02,1.748432e-03,11351384,2.104402e+00,1.281622e-02,85
3,volume,h2_nnca,1728,12,2.257290e-01,2.351087e-03,15484024,1.542743e+00,4.337546e-03,138
3,volume,h2_proxy_dense,1728,12,1.615887e-01,2.085604e-03,18985296,1.258230e+00,2.124946e-04,216
3,volume,full,4096,16,1.203972e-01,9.281004e-03,134217776,9.999996e-01,0.000000e+00,0
3,volume,fmm,4096,16,1.957168e-02,1.161312e-01,7360880,1.823392e+01,6.693347e-07,0
3,volume,hmatrix,4096,16,2.354714e-01,5.118361e-03,79381688,1.690790e+00,5.544976e-06,0
3,volume,h2_proxy_aca,4096,16,5.294415e-01,1.080176e-02,63774744,2.104559e+00,5.454323e-06,216
3,volume,h2_nca,4096,16,3.592501e-01,7.862603e-03,39894512,3.364316e+00,6.652481e-04,85
3,volume,h2_nnca,4096,16,6.004705e-01,8.457644e-03,43683736,3.072487e+00,3.270952e-04,117
3,volume,h2_proxy_dense,4096,16,4.912274e-01,1.120697e-02,67830296,1.978728e+00,4.259406e-06,216
3,volume,fmm,8000,20,2.679230e-02,1.328055e-01,9115000,5.617115e+01,0.000000e+00,0
3,volume,hmatrix,8000,20,5.853123e-01,1.530870e-02,239774736,2.135338e+00,1.280474e-02,0
3,volume,h2_proxy_aca,8000,20,7.949510e-01,1.809487e-02,82152616,6.232303e+00,5.381861e-01,216
3,volume,h2_nca,8000,20,6.932691e-01,2.132256e-02,97496192,5.251487e+00,1.308448e-02,101
3,volume,h2_nnca,8000,20,2.247632e+00,2.419415e-02,110696504,4.625259e+00,1.283284e-02,199
3,volume,h2_proxy_dense,8000,20,9.207862e-01,3.427588e-02,183738832,2.786564e+00,1.280504e-02,216
3,volume,fmm,10648,22,3.758312e-02,1.292586e-01,12789032,7.092321e+01,0.000000e+00,0
3,volume,hmatrix,10648,22,1.001111e+00,2.473165e-02,346458824,2.618029e+00,8.835197e-02,0
3,volume,h2_proxy_aca,10648,22,1.651448e+00,4.167833e-02,203282432,4.461966e+00,8.835241e-02,216
3,volume,h2_nca,10648,22,9.177967e-01,2.899054e-02,132919832,6.823957e+00,8.835558e-02,84
3,volume,h2_nnca,10648,22,3.218530e+00,3.364477e-02,153765064,5.898864e+00,8.836021e-02,133
3,volume,h2_proxy_dense,10648,22,1.216428e+00,4.678308e-02,242052056,3.747290e+00,8.835246e-02,216
3,boundary,full,386,8,1.026772e-03,2.156700e-05,1192016,9.999597e-01,0.000000e+00,0
3,boundary,fmm,386,8,5.131601e-03,5.026157e-03,2923504,4.077190e-01,1.992072e-06,0
3,boundary,hmatrix,386,8,1.554381e-03,6.581200e-05,1259456,9.464150e-01,3.580475e-16,0
3,boundary,h2_proxy_aca,386,8,2.302446e-02,1.692310e-04,2367136,5.035486e-01,3.959093e-07,216
3,boundary,h2_nca,386,8,5.715303e-03,1.614750e-04,1996248,5.971042e-01,4.366718e-07,264
3,boundary,h2_nnca,386,8,5.426973e-03,1.623160e-04,1923784,6.195955e-01,4.135165e-06,257
3,boundary,h2_proxy_dense,386,8,2.170227e-02,1.414930e-04,2265816,5.260657e-01,3.694207e-16,216
3,boundary,h2_hara,386,8,5.206064e-01,1.427200e-04,1690776,7.049828e-01,1.707560e-07,96
3,boundary,h2_fmm,386,8,1.642136e+01,1.452190e-04,1690776,7.049828e-01,1.984684e-06,96
3,boundary,full,866,12,4.972322e-03,5.005500e-05,5999696,9.999920e-01,0.000000e+00,0
3,boundary,fmm,866,12,6.462755e-03,6.711325e-03,4301784,1.394688e+00,7.925045e-08,0
3,boundary,hmatrix,866,12,8.772933e-03,1.956370e-04,5897448,1.017330e+00,8.753443e-08,0
3,boundary,h2_proxy_aca,866,12,6.169938e-02,7.436080e-04,7028712,8.535914e-01,2.637983e-07,216
3,boundary,h2_nca,866,12,2.311143e-02,7.230420e-04,5293208,1.133462e+00,7.444657e-04,325
3,boundary,h2_nnca,866,12,3.798693e-02,7.038050e-04,5354696,1.120446e+00,3.699940e-06,328
3,boundary,h2_proxy_dense,866,12,5.220874e-02,5.969150e-04,6930864,8.656421e-01,5.216140e-16,216
3,boundary,h2_hara,866,12,1.053001e+01,6.651940e-04,5078272,1.181435e+00,2.267730e-07,96
3,boundary,full,1538,16,1.592074e-02,7.566270e-04,18923600,9.999975e-01,0.000000e+00,0
3,boundary,fmm,1538,16,1.473529e-02,1.100973e-02,7399088,2.557552e+00,1.683852e-06,0
3,boundary,hmatrix,1538,16,2.994225e-02,7.697400e-04,14521944,1.303100e+00,5.085915e-07,0
3,boundary,h2_proxy_aca,1538,16,1.352381e-01,1.839329e-03,12534600,1.509705e+00,1.203134e-03,216
3,boundary,h2_nca,1538,16,5.013687e-02,1.426265e-03,8108680,2.333740e+00,1.118519e-02,249
3,boundary,h2_nnca,1538,16,1.221198e-01,1.587060e-03,9188352,2.059515e+00,1.310782e-02,262
3,boundary,h2_proxy_dense,1538,16,1.589962e-01,1.963789e-03,14582160,1.297719e+00,1.203150e-03,216
3,boundary,full,3458,24,7.832467e-02,4.984978e-03,95662160,9.999995e-01,0.000000e+00,0
3,boundary,fmm,3458,24,2.561695e-02,3.082198e-02,13193280,7.250821e+00,8.872483e-08,0
3,boundary,hmatrix,3458,24,9.632036e-02,3.014275e-03,44493568,2.150021e+00,5.513486e-07,0
3,boundary,h2_proxy_aca,3458,24,2.604409e-01,4.358696e-03,25567936,3.741487e+00,1.448427e-01,216
3,boundary,h2_nca,3458,24,2.527919e-01,3.222402e-03,16128784,5.931142e+00,1.647776e-02,276
3,boundary,h2_nnca,3458,24,4.306375e-01,4.045585e-03,19939344,4.797656e+00,9.750858e-03,287
3,boundary,h2_proxy_dense,3458,24,2.445097e-01,4.950473e-03,31825120,3.005868e+00,1.448427e-01,216
3,boundary,fmm,6146,32,3.541237e-02,4.579871e-02,21092104,1.432700e+01,0.000000e+00,0
3,boundary,hmatrix,6146,32,2.527401e-01,6.210987e-03,94790584,3.187938e+00,1.231089e-06,0
3,boundary,h2_proxy_aca,6146,32,5.146556e-01,8.465793e-03,42612744,7.091459e+00,3.210479e-02,216
3,boundary,h2_nca,6146,32,1.995463e-01,5.953616e-03,27072632,1.116207e+01,3.411378e-02,319
3,boundary,h2_nnca,6146,32,9.646516e-01,7.462135e-03,33661784,8.977139e+00,2.133429e-02,339
3,boundary,h2_proxy_dense,6146,32,3.834608e-01,9.902891e-03,54450336,5.549764e+00,2.982746e-02,216
3,boundary,fmm,10088,41,5.559003e-02,7.637344e-02,27645664,2.944917e+01,0.000000e+00,0
3,boundary,hmatrix,10088,41,5.242303e-01,1.196524e-02,178010184,4.573570e+00,5.317135e-02,0
3,boundary,h2_proxy_aca,10088,41,7.516962e-01,1.297000e-02,57951544,1.404867e+01,8.799013e-02,216
3,boundary,h2_nca,10088,41,3.092935e-01,9.263996e-03,36970688,2.202128e+01,1.045395e-01,268
3,boundary,h2_nnca,10088,41,1.294075e+00,1.059393e-02,45957952,1.771493e+01,7.547848e-02,275
3,boundary,h2_proxy_dense,10088,41,5.712556e-01,1.426769e-02,73790296,1.103318e+01,8.799014e-02,216
