t,axis,s,p_dibem,p_exact,error
4.400000000000e-01,x,-4.133333333333e-01,1.011013414912e-03,-1.512309148131e-02,1.613410489622e-02
4.400000000000e-01,x,-4.000000000000e-01,4.146111570100e-03,-1.274430944788e-02,1.689042101798e-02
4.400000000000e-01,x,-3.866666666667e-01,7.347025850158e-03,-9.461778966989e-03,1.680880481715e-02
4.400000000000e-01,x,-3.733333333333e-01,1.060340858572e-02,-5.327511555804e-03,1.593092014152e-02
4.400000000000e-01,x,-3.600000000000e-01,1.390490737863e-02,-4.581600623966e-04,1.436306744102e-02
4.400000000000e-01,x,-3.466666666667e-01,1.724115052898e-02,4.967420193308e-03,1.227373033568e-02
4.400000000000e-01,x,-3.333333333333e-01,2.060173195868e-02,1.071687432282e-02,9.884857635862e-03
4.400000000000e-01,x,-3.200000000000e-01,2.397619567781e-02,1.651889689270e-02,7.457298785104e-03
4.400000000000e-01,x,-3.066666666667e-01,2.735401984293e-02,2.208244107854e-02,5.271578764388e-03
4.400000000000e-01,x,-2.933333333333e-01,3.072460045932e-02,2.711874703488e-02,3.605853424444e-03
4.400000000000e-01,x,-2.800000000000e-01,3.407723478248e-02,3.136391448194e-02,2.713320300536e-03
4.400000000000e-01,x,-2.666666666667e-01,3.740110447787e-02,3.459960736348e-02,2.801497114398e-03
4.400000000000e-01,x,-2.533333333333e-01,4.068525860213e-02,3.666966757936e-02,4.015591022765e-03
4.400000000000e-01,x,-2.400000000000e-01,4.391859647280e-02,3.749090635356e-02,6.427690119235e-03
4.400000000000e-01,x,-2.266666666667e-01,4.708985049902e-02,3.705706235390e-02,1.003278814512e-02
4.400000000000e-01,x,-2.133333333333e-01,5.018756904977e-02,3.543575556939e-02,1.475181348038e-02
4.400000000000e-01,x,-2.000000000000e-01,5.320009944177e-02,3.275909924995e-02,2.044100019182e-02
4.400000000000e-01,x,-1.866666666667e-01,5.611557113364e-02,2.920933918092e-02,2.690623195272e-02
4.400000000000e-01,x,-1.733333333333e-01,5.892187921797e-02,2.500137681393e-02,3.392050240404e-02
4.400000000000e-01,x,-1.600000000000e-01,6.160666830691e-02,2.036424716976e-02,4.124242113714e-02
4.400000000000e-01,x,-1.466666666667e-01,6.415731691075e-02,1.552355639391e-02,4.863376051683e-02
4.400000000000e-01,x,-1.333333333333e-01,6.656092241169e-02,1.068657195895e-02,5.587435045275e-02
4.400000000000e-01,x,-1.200000000000e-01,6.880428673680e-02,6.031167267646e-03,6.277311946915e-02
4.400000000000e-01,x,-1.066666666667e-01,7.087390283459e-02,1.699236349965e-03,6.917466648463e-02
4.400000000000e-01,x,-9.333333333333e-02,7.275594205890e-02,-2.205398279268e-03,7.496134033817e-02
4.400000000000e-01,x,-8.000000000000e-02,7.443624256094e-02,-5.615081227528e-03,8.005132378847e-02
4.400000000000e-01,x,-6.666666666667e-02,7.590029878647e-02,-8.493305754480e-03,8.439360454095e-02
4.400000000000e-01,x,-5.333333333333e-02,7.713325216893e-02,-1.082768048755e-02,8.796093265647e-02
4.400000000000e-01,x,-4.000000000000e-02,7.811988310156e-02,-1.262202332049e-02,9.074190642204e-02
4.400000000000e-01,x,-2.666666666667e-02,7.884460426231e-02,-1.388861846896e-02,9.273322273127e-02
4.400000000000e-01,x,-1.333333333333e-02,7.929145535417e-02,-1.464146763944e-02,9.393292299361e-02
4.400000000000e-01,x,0.000000000000e+00,7.944409931132e-02,-1.489112347458e-02,9.433522278590e-02
4.400000000000e-01,x,1.333333333333e-02,7.929145535417e-02,-1.464146763944e-02,9.393292299361e-02
4.400000000000e-01,x,2.666666666667e-02,7.884460426231e-02,-1.388861846896e-02,9.273322273127e-02
4.400000000000e-01,x,4.000000000000e-02,7.811988310156e-02,-1.262202332049e-02,9.074190642204e-02
4.400000000000e-01,x,5.333333333333e-02,7.713325216893e-02,-1.082768048755e-02,8.796093265647e-02
4.400000000000e-01,x,6.666666666667e-02,7.590029878647e-02,-8.493305754480e-03,8.439360454095e-02
4.400000000000e-01,x,8.000000000000e-02,7.443624256094e-02,-5.615081227528e-03,8.005132378847e-02
4.400000000000e-01,x,9.333333333333e-02,7.275594205890e-02,-2.205398279268e-03,7.496134033817e-02
4.400000000000e-01,x,1.066666666667e-01,7.087390283460e-02,1.699236349965e-03,6.917466648463e-02
4.400000000000e-01,x,1.200000000000e-01,6.880428673680e-02,6.031167267646e-03,6.277311946915e-02
4.400000000000e-01,x,1.333333333333e-01,6.656092241169e-02,1.068657195895e-02,5.587435045275e-02
